window_start_utc,settled_up,slug,source,up_mid_open,mid_seconds_remaining,open_price,close_price
2025-12-27 03:30:00+00:00,1,btc-updown-15m-1766806200,bot.hist_windows,,,,
2025-12-27 03:45:00+00:00,1,btc-updown-15m-1766807100,bot.hist_windows,,,,
2025-12-27 04:00:00+00:00,0,btc-updown-15m-1766808000,bot.hist_windows,,,,
2025-12-27 04:15:00+00:00,0,btc-updown-15m-1766808900,bot.hist_windows,,,,
2025-12-27 04:30:00+00:00,1,btc-updown-15m-1766809800,bot.hist_windows,,,,
2025-12-27 04:45:00+00:00,0,btc-updown-15m-1766810700,bot.hist_windows,,,,
2025-12-27 05:00:00+00:00,0,btc-updown-15m-1766811600,bot.hist_windows,,,,
2025-12-27 05:15:00+00:00,0,btc-updown-15m-1766812500,bot.hist_windows,,,,
2025-12-27 05:30:00+00:00,1,btc-updown-15m-1766813400,bot.hist_windows,,,,
2025-12-27 05:45:00+00:00,1,btc-updown-15m-1766814300,bot.hist_windows,,,,
2025-12-27 06:00:00+00:00,1,btc-updown-15m-1766815200,bot.hist_windows,,,,
2025-12-27 06:15:00+00:00,0,btc-updown-15m-1766816100,bot.hist_windows,,,,
2025-12-27 06:30:00+00:00,0,btc-updown-15m-1766817000,bot.hist_windows,,,,
2025-12-27 06:45:00+00:00,1,btc-updown-15m-1766817900,bot.hist_windows,,,,
2025-12-27 07:00:00+00:00,1,btc-updown-15m-1766818800,bot.hist_windows,,,,
2025-12-27 07:15:00+00:00,1,btc-updown-15m-1766819700,bot.hist_windows,,,,
2025-12-27 07:30:00+00:00,0,btc-updown-15m-1766820600,bot.hist_windows,,,,
2025-12-27 07:45:00+00:00,0,btc-updown-15m-1766821500,bot.hist_windows,,,,
2025-12-27 08:00:00+00:00,1,btc-updown-15m-1766822400,bot.hist_windows,,,,
2025-12-27 08:15:00+00:00,1,btc-updown-15m-1766823300,bot.hist_windows,,,,
2025-12-27 08:30:00+00:00,1,btc-updown-15m-1766824200,bot.hist_windows,,,,
2025-12-27 08:45:00+00:00,0,btc-updown-15m-1766825100,bot.hist_windows,,,,
2025-12-27 09:00:00+00:00,1,btc-updown-15m-1766826000,bot.hist_windows,,,,
2025-12-27 09:15:00+00:00,0,btc-updown-15m-1766826900,bot.hist_windows,,,,
2025-12-27 09:30:00+00:00,1,btc-updown-15m-1766827800,bot.hist_windows,,,,
2025-12-27 09:45:00+00:00,1,btc-updown-15m-1766828700,bot.hist_windows,,,,
2025-12-27 10:00:00+00:00,0,btc-updown-15m-1766829600,bot.hist_windows,,,,
2025-12-27 10:15:00+00:00,1,btc-updown-15m-1766830500,bot.hist_windows,,,,
2025-12-27 10:30:00+00:00,0,btc-updown-15m-1766831400,bot.hist_windows,,,,
2025-12-27 10:45:00+00:00,1,btc-updown-15m-1766832300,bot.hist_windows,,,,
2025-12-27 11:00:00+00:00,1,btc-updown-15m-1766833200,bot.hist_windows,,,,
2025-12-27 11:15:00+00:00,0,btc-updown-15m-1766834100,bot.hist_windows,,,,
2025-12-27 11:30:00+00:00,0,btc-updown-15m-1766835000,bot.hist_windows,,,,
2025-12-27 11:45:00+00:00,0,btc-updown-15m-1766835900,bot.hist_windows,,,,
2025-12-27 12:00:00+00:00,0,btc-updown-15m-1766836800,bot.hist_windows,,,,
2025-12-27 12:15:00+00:00,1,btc-updown-15m-1766837700,bot.hist_windows,,,,
2025-12-27 12:30:00+00:00,1,btc-updown-15m-1766838600,bot.hist_windows,,,,
2025-12-27 12:45:00+00:00,0,btc-updown-15m-1766839500,bot.hist_windows,,,,
2025-12-27 13:00:00+00:00,0,btc-updown-15m-1766840400,bot.hist_windows,,,,
2025-12-27 13:15:00+00:00,0,btc-updown-15m-1766841300,bot.hist_windows,,,,
2025-12-27 13:30:00+00:00,1,btc-updown-15m-1766842200,bot.hist_windows,,,,
2025-12-27 13:45:00+00:00,0,btc-updown-15m-1766843100,bot.hist_windows,,,,
2025-12-27 14:00:00+00:00,0,btc-updown-15m-1766844000,bot.hist_windows,,,,
2025-12-27 14:15:00+00:00,0,btc-updown-15m-1766844900,bot.hist_windows,,,,
2025-12-27 14:30:00+00:00,1,btc-updown-15m-1766845800,bot.hist_windows,,,,
2025-12-27 14:45:00+00:00,1,btc-updown-15m-1766846700,bot.hist_windows,,,,
2025-12-27 15:00:00+00:00,1,btc-updown-15m-1766847600,bot.hist_windows,,,,
2025-12-27 15:15:00+00:00,0,btc-updown-15m-1766848500,bot.hist_windows,,,,
2025-12-27 15:30:00+00:00,1,btc-updown-15m-1766849400,bot.hist_windows,,,,
